lag_2,lag_1,target
2.493542398143392e-05,2.5136498152278364e-05,3.894159059806649e-05
2.5136498152278364e-05,3.894159059806649e-05,3.477571757078597e-05
3.894159059806649e-05,3.477571757078597e-05,3.060984454350546e-05
3.477571757078597e-05,3.060984454350546e-05,2.165150362998247e-05
3.060984454350546e-05,2.165150362998247e-05,2.351312771982824e-05
2.165150362998247e-05,2.351312771982824e-05,3.165371648113554e-05
2.351312771982824e-05,3.165371648113554e-05,2.299372681591194e-05
3.165371648113554e-05,2.299372681591194e-05,2.6520180472289213e-05
2.299372681591194e-05,2.6520180472289213e-05,2.5637485123297665e-05
2.6520180472289213e-05,2.5637485123297665e-05,2.1941561499261297e-05
2.5637485123297665e-05,2.1941561499261297e-05,2.6366260044596856e-05
2.1941561499261297e-05,2.6366260044596856e-05,3.0790958589932416e-05
2.6366260044596856e-05,3.0790958589932416e-05,2.9724909836659208e-05
3.0790958589932416e-05,2.9724909836659208e-05,2.595389560156036e-05
2.9724909836659208e-05,2.595389560156036e-05,2.3703105853201123e-05
2.595389560156036e-05,2.3703105853201123e-05,2.1452316104841884e-05
2.3703105853201123e-05,2.1452316104841884e-05,2.3209377710979123e-05
2.1452316104841884e-05,2.3209377710979123e-05,2.0374642796620417e-05
2.3209377710979123e-05,2.0374642796620417e-05,1.1866761269629931e-05
2.0374642796620417e-05,1.1866761269629931e-05,1.4298786178793913e-05
1.1866761269629931e-05,1.4298786178793913e-05,1.6730811087957896e-05
1.4298786178793913e-05,1.6730811087957896e-05,1.916283599712188e-05
1.6730811087957896e-05,1.916283599712188e-05,2.0402016161824577e-05
1.916283599712188e-05,2.0402016161824577e-05,2.048133410426089e-05
2.0402016161824577e-05,2.048133410426089e-05,2.0591442080331035e-05
2.048133410426089e-05,2.0591442080331035e-05,2.3348107030566705e-05
2.0591442080331035e-05,2.3348107030566705e-05,2.2406098048577407e-05
2.3348107030566705e-05,2.2406098048577407e-05,2.1464089066588103e-05
2.2406098048577407e-05,2.1464089066588103e-05,2.0522080084598808e-05
2.1464089066588103e-05,2.0522080084598808e-05,1.958007110260951e-05
2.0522080084598808e-05,1.958007110260951e-05,1.834357190091396e-05
1.958007110260951e-05,1.834357190091396e-05,2.808031634534321e-05
1.834357190091396e-05,2.808031634534321e-05,4.236208769725636e-05
